Date (Arr.),Date (Dep.),Ship Name,Tons,Nationality,From,Bound To,From lat,From long,To lat,To long
Nov. 12,—,Meyun,174,British,Perim,Is still in harbour,12.6497,43.4067,-6.1659,39.2026
Dec. 16,Dec. 31,Barawa,165,Zanzibar,Pemba,Pemba,-5.2452,39.81,-6.1659,39.2026
Dec. 27,Jan. 21,Cupid,243,Zanzibar,Pemba,Pemba,-5.2452,39.81,-6.1659,39.2026
Dec. 28,Dec. 31,Somali,1623,German,Mombasa,Dar-es-Salam,-4.0435,39.6682,-6.1659,39.2026
Dec. 30,Jan. 6,Purnea,2127,British,Aden,Aden,12.7855,45.0187,-6.1659,39.2026
Dec. 30,Dec. 30,Rhenania,4056,German,D'Salam,Europe,-6.7924,39.2083,-6.1659,39.2026
Dec. 31,Jan. 2,Kilwa,161,British,Kismayu,Kismayu,-0.3582,42.5454,-6.1659,39.2026
Jan. 1,Jan. 1,Feldmarschall,3819,German,Europe,Dar-es-Salam,48.8566,2.3522,-6.1659,39.2026
Jan. 1,Jan. 3,Koenig,3048,German,D'Salam,Bombay,-6.7924,39.2083,-6.1659,39.2026
Jan. 3,Jan. 3,Oxus,2269,French,Madagascar,Marseilles,-18.8792,47.5079,-6.1659,39.2026
Jan. 3,Jan. 5,Palamcotta,2208,British,South,Bombay,-20.3484,57.5522,-6.1659,39.2026
Jan. 3,Jan. 3,Kiugani,25,German,D'Salam,Dar-es-Salam,-6.7924,39.2083,-6.1659,39.2026
Jan. 3,Jan. 7,Barawa,165,Zanzibar,Pemba,Pemba,-5.2452,39.81,-6.1659,39.2026
Jan. 4,Jan. 6,Praesident,2069,German,Bombay,Dar-es-Salam,18.9388,72.8354,-6.1659,39.2026
Jan. 5,Jan. 6,Goorkha,3839,British,London,South,51.5072,-0.1276,-6.1659,39.2026
Jan. 6,Jan. 7,Kaiser Wilhelm II,97,German,D'Salam,Mombasa,-6.7924,39.2083,-6.1659,39.2026
Jan. 7,Feb. 22,Duplex,434,British,Mombasa,Aden,-4.0435,39.6682,-6.1659,39.2026
Jan. 9,Jan. 11,Wissmann,183,British,Benadir,Benadir,2.0469,45.3182,-6.1659,39.2026
Jan. 9,Jan. 13,Arvo Castle,2869,British,New York,Diamond Island,40.7128,-74.006,-6.1659,39.2026
Jan. 9,Jan. 10,Kiugani,25,German,Tanga,Dar-es-Salam,-5.0689,39.1024,-6.1659,39.2026
Jan. 10,Jan. 12,Praesident,2069,German,Tanga,Bombay,-5.0689,39.1024,-6.1659,39.2026
